F1,F2,F3
1.854,37.92,24.95
1.772,35.56,24.32
1.703,33.48,23.7
1.606,32.3,23.06
1.425,30.28,22.65
0.424,40.1,39.3
0.366,37.58,37.34
0.132,36.52,36.38
0.123,29.72,29.43
0.084,21.12,20.85
