F1,F2,F3
1.85,46.71,39.84
1.77,46.44,39.45
1.7,45.06,39.2
1.6,43.61,38.46
1.43,42.11,38.28
0.424,40.1,39.3
0.366,37.58,37.34
0.132,36.52,36.38
0.123,29.72,29.43
0.084,21.12,20.85
